comment,Emotion,Score,Mapped_Emotion
"This movie clearly shows that if u do what you love, you will reach places u never thought, you will meet such amazing people like autumn",2,0.9614323973655701,love
In this world there are very few things that are a better source of inspiration than rejection. It can crush an ego almost as well as lifting a spirit to greatness.,2,0.4866494834423065,love
This scene means &quot;I&#39;m remaking myself&quot;,2,0.46415066719055176,love
I&#39;m finally focusing on myself and working on getting my life together and being more productive.❤,1,0.8597398996353149,joy
This is a video about overcoming procrastination,1,0.42199406027793884,joy
Everyone in a moment of our life we have a summer...,2,0.7542903423309326,love
my favorite scene,1,0.5334919095039368,joy
"Value love more than anything , don&#39;t take things for granted.....",2,0.8793052434921265,love
"In the end, Tom realized he still has the talent to be an architect and met Autumn, Summer finally let herself believe there was someone for her and married a good man❤️",2,0.6269951462745667,love
"People say re-watch your favourite movie or re-read your fav novel at different phases of your life.<br>At each phase different parts will give you different meanings depending upon what situation you&#39;re in.<br>And man, so true can someone be?<br>Earlier I used to go over the rose tinted parts of the movie for that seemed relatable, and wouldn&#39;t understand the later parts.<br>And now when im in a similar place, when getting up merely from bed seems so uphill a task, when the thought of living on my own after she walked away sends a me a shudder and fills me with uncertainty,  this scene looks so beautiful now. Perhaps the best part of the movie.",1,0.4819933772087097,joy
"I’m going  through an extremely painful divorce after my husband abandoned me and took half of my money with him. When I get overwhelmed, I listen to this song, get up, take my dog for a walk and remind myself that life doesn’t end here. You just have to put forth the effort yourself and not rely on one person to make you happy.",2,0.8881772756576538,love
I find it interesting that you never actually see the guy that Summer marries.,2,0.8787174820899963,love
"i rewatch this scene and listen to this song every time i start to relapse and feel nostalgic for someone from the past who didn’t wanna commit to me. it makes me feel hopeful, strong and motivated. It reminds me that the future is bright - but only if I move on and make it bright.",2,0.6516135931015015,love
Probably my favourite story act in anything ever,2,0.6966861486434937,love
"This scene was my favorite, I really related to this character and this really motivated me, as an aspiring architect student and a rather hopeless romantic, also I love JGL!!!!!&lt;3",2,0.8437832593917847,love
Classic…lets just lie to these men and let them think that self improvement will get them female attraction (it doesn’t). You are either born perfect and handsome or you aren’t and women will never like you. Movies like this is just delusional and wants to manipulate men into being productive for no reason and no purpose.,2,0.8002176284790039,love
This is the best scene in the film in my opinion. After being so emotionally bound to summer and being devastated by her being engaged he reached an absolute low point. He then makes a choice to reinvent himself and pursue his passion which is architecture. Many men can relate to this time in their lives when they “get their shit together” and really being to understand the higher levels of life. It all starts from within.,2,0.6011666655540466,love
Purpose &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;relationship,1,0.501500129699707,joy
"Un día, hace falta levantarse de llorar en la cama, saber que se ha ido, que nunca volverá, que no le importas, es en ese momento, dónde debes importarte a ti mismo, empezar a ser contigo mismo, soltar el pasado y lograr que no duela",2,0.8346793055534363,love
This is one of my favorite scenes,2,0.7100287079811096,love
"We all need time to slow down and figure out what needs to heal. <br><br>Society hates that, but thats the reality of life.",2,0.604054868221283,love
"I&#39;ve been looking for this video for a while, like 1 year or 6 o 8 moths",2,0.5224566459655762,love
These moments in life are beautiful.,1,0.8252136707305908,joy
This scene stuck in my head and led me to get into urban sketching in 2021.,2,0.4944115877151489,love
Sometimes you just gotta say fuck it and move on by force and try new things. Hopefully anyone who is watching this is finding their purpose and moving forward,2,0.6563279032707214,love
"In terms of a movie about a &quot;significant other&quot; who isn&#39;t the one, there is no movie that comes close to this in the way of showing someone realistically build themselves back up again to be confident enough to find the right person for them.  This scene is absolutely wonderful and I would argue is what takes this movie to that perfect level of cinema.<br><br>10 out of 10.",1,0.8015061020851135,joy
Hey man can i use this clip in my video,2,0.7813659906387329,love
This song is fucking 👍,3,0.3451519012451172,anger
This movie now has a meaning for me.,2,0.2972935140132904,love
Same,4,0.4507073163986206,fear
